       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff  BNNRecall  BNNAdversaryRecall  BNNPrecision  BNNAdversaryPrecision  BNNMeanEntropy  BNNAdversaryMeanEntropy
L4N16     0.835253              0.759251          0.859142                   0.300725          0.027107                   0.000000          0.140858                   0.699275    0.563528         1.499183e-01   0.737329            0.500000      0.784076               0.379625        0.340959                 0.319419
L5N16     0.829572              0.759251          0.805189                   0.369014          0.046497                   0.000000          0.194811                   0.630986    0.442179         1.130916e-01   0.692648            0.500000      0.799616               0.379625        0.369679                 0.369533
L1N8      0.830646              0.759251          0.898306                   0.421406          0.033702                   0.000000          0.101694                   0.578594    0.559402         1.583260e-01   0.749757            0.500000      0.770958               0.379625        0.357101                 0.324053
L2N8      0.759251              0.826808          0.381034                   0.497985          0.000000                   0.005038          0.618966                   0.502015    0.146841         2.013251e-01   0.500000            0.710209      0.379625               0.777368        0.397206                 0.401120
L3N8      0.820973              0.759251          0.575500                   0.000000          0.000000                   0.000000          0.424500                   1.000000    0.302832         0.000000e+00   0.722481            0.500000      0.759383               0.379625        0.402230                 0.591643
L4N8      0.759251              0.759251          0.321610                   0.000462          0.000000                   0.000000          0.678390                   0.999538    0.131914         1.296056e-06   0.500000            0.500000      0.379625               0.379625        0.390063                 0.565416
L5N8      0.759251              0.759251          0.033837                   0.000000          0.000000                   0.000000          0.966163                   1.000000    0.016222         0.000000e+00   0.500000            0.500000      0.379625               0.379625        0.576616                 0.560596
L1N4      0.830646              0.759251          0.799287                   0.392180          0.000000                   0.000000          0.200713                   0.607820    0.467029         1.959753e-01   0.744966            0.500000      0.772064               0.379625        0.372570                 0.319135
L2N4      0.837095              0.809612          0.910602                   0.669073          0.003001                   0.000000          0.089398                   0.330927    0.535214         2.632820e-01   0.736800            0.749841      0.788546               0.740278        0.332894                 0.317825
L3N4      0.830646              0.759251          0.543105                   0.389561          0.000000                   0.000000          0.456895                   0.610439    0.305563         1.136016e-01   0.721012            0.500000      0.781135               0.379625        0.461021                 0.383882
L4N4      0.759251              0.759251          0.000000                   0.000252          0.000000                   0.000000          1.000000                   0.999748    0.000000         3.479821e-07   0.500000            0.500000      0.379625               0.379625        0.527356                 0.537562
L5N4      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000         0.000000e+00   0.500000            0.500000      0.379625               0.379625        0.557409                 0.514560
L1N2      0.830339              0.759251          0.627270                   0.000000          0.000000                   0.000000          0.372730                   1.000000    0.366928         0.000000e+00   0.727778            0.500000      0.777194               0.379625        0.391579                 0.513550
L2N2      0.818670              0.759251          0.525787                   0.030963          0.000000                   0.000000          0.474213                   0.969037    0.253323         4.754104e-06   0.674363            0.500000      0.779471               0.379625        0.401735                 0.511111
L3N2      0.759251              0.759251          0.000000                   0.001627          0.000000                   0.000000          1.000000                   0.998373    0.000000         8.617838e-05   0.500000            0.500000      0.379625               0.379625        0.535981                 0.513093
L4N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000         0.000000e+00   0.500000            0.500000      0.379625               0.379625        0.541168                 0.559473
L5N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000         0.000000e+00   0.500000            0.500000      0.379625               0.379625        0.514086                 0.513912
