       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff  BNNRecall  BNNAdversaryRecall  BNNPrecision  BNNAdversaryPrecision  BNNMeanEntropy  BNNAdversaryMeanEntropy
L3N8      0.829572              0.825426          0.683739                   0.517358          0.003182               4.947186e-06          0.316261                   0.482642    0.267340             0.143495   0.738814            0.718227      0.771673               0.770136        0.371692                 0.356389
L4N8      0.830646              0.759251          0.548153                   0.375763          0.000000               0.000000e+00          0.451847                   0.624237    0.214418             0.083606   0.728416            0.500000      0.777611               0.379625        0.360787                 0.367533
L5N8      0.830186              0.759251          0.569487                   0.025706          0.000000               0.000000e+00          0.430513                   0.974294    0.169869             0.001231   0.720491            0.500000      0.780277               0.379625        0.367013                 0.554605
L1N4      0.822509              0.783971          0.465278                   0.475632          0.000000               0.000000e+00          0.534722                   0.524368    0.156627             0.101729   0.725234            0.722503      0.761655               0.708267        0.415073                 0.338262
L2N4      0.825119              0.820513          0.374968                   0.759812          0.000000               0.000000e+00          0.625032                   0.240188    0.125801             0.217512   0.720856            0.742866      0.768423               0.755132        0.452362                 0.319258
L3N4      0.834485              0.759251          0.541170                   0.234432          0.006818               0.000000e+00          0.458830                   0.765568    0.235743             0.049100   0.720055            0.500000      0.791657               0.379625        0.379344                 0.426389
L4N4      0.759251              0.759251          0.135387                   0.051926          0.000000               0.000000e+00          0.864613                   0.948074    0.056403             0.019815   0.500000            0.500000      0.379625               0.379625        0.450013                 0.556927
L5N4      0.827115              0.759251          0.404649                   0.001569          0.000000               0.000000e+00          0.595351                   0.998431    0.133007             0.000044   0.728921            0.500000      0.769808               0.379625        0.425430                 0.588681
L1N2      0.831875              0.759251          0.664407                   0.000000          0.000000               0.000000e+00          0.335593                   1.000000    0.251960             0.000000   0.748170            0.500000      0.773542               0.379625        0.378394                 0.513064
L2N2      0.759251              0.759251          0.000000                   0.040803          0.000000               0.000000e+00          1.000000                   0.959197    0.000000             0.000047   0.500000            0.500000      0.379625               0.379625        0.513563                 0.513724
L3N2      0.759251              0.759251          0.066668                   0.000000          0.000000               0.000000e+00          0.933332                   1.000000    0.001204             0.000000   0.500000            0.500000      0.379625               0.379625        0.479927                 0.560398
L4N2      0.759251              0.759251          0.009746                   0.014367          0.000000               0.000000e+00          0.990254                   0.985633    0.000782             0.000003   0.500000            0.500000      0.379625               0.379625        0.569314                 0.547274
L5N2      0.759251              0.759251          0.000000                   0.000000          0.000000               0.000000e+00          1.000000                   1.000000    0.000000             0.000000   0.500000            0.500000      0.379625               0.379625        0.514991                 0.513875
